,Language,Prediction
9355,Arabic,Arabic
10164,Kannada,Kannada
7207,Italian,Italian
9784,German,German
3055,Portugeese,Portugeese
761,English,English
4415,Dutch,Dutch
3936,French,French
8706,Sweedish,Sweedish
937,English,English
1284,English,English
335,English,English
10026,Kannada,Kannada
5152,Spanish,Spanish
2846,Portugeese,Portugeese
6510,Russian,Russian
9362,Arabic,Arabic
6785,Danish,Danish
3149,Portugeese,Portugeese
1188,English,English
311,English,English
8419,Sweedish,Sweedish
2794,Portugeese,Portugeese
5279,Spanish,Spanish
8037,Turkish,Turkish
3470,French,French
532,English,English
4852,Spanish,Spanish
970,English,English
7403,Italian,Italian
7729,Italian,Italian
6161,Russian,Russian
6310,Russian,Russian
668,English,English
3473,French,French
3879,French,French
8432,Sweedish,Sweedish
2615,Portugeese,Portugeese
4148,French,French
1339,English,English
9234,Arabic,Arabic
5159,Spanish,Spanish
5844,Greek,Greek
2935,Portugeese,Portugeese
1662,Malayalam,Malayalam
2303,Tamil,Tamil
590,English,English
6713,Danish,Danish
7289,Italian,Italian
7585,Italian,Italian
10223,Kannada,Kannada
9828,German,German
3543,French,French
4245,French,French
8726,Sweedish,Sweedish
9210,Arabic,Arabic
303,English,English
5467,Spanish,Spanish
4773,Dutch,Dutch
2592,Portugeese,Portugeese
107,English,English
5805,Greek,Greek
565,English,English
2627,Portugeese,Portugeese
8540,Sweedish,Sweedish
9108,Arabic,Arabic
4342,Dutch,Dutch
5836,Greek,Greek
7798,Italian,Italian
9230,Arabic,Arabic
9863,German,German
9527,German,German
9910,German,German
2586,Portugeese,Portugeese
4377,Dutch,Dutch
8168,Turkish,Turkish
5649,Greek,Greek
4607,Dutch,Dutch
9396,Arabic,Arabic
6000,Russian,Russian
2375,Tamil,Tamil
2648,Portugeese,Portugeese
6771,Danish,Danish
3206,Portugeese,Portugeese
9090,Arabic,Arabic
1732,Malayalam,Malayalam
1941,Malayalam,Malayalam
8201,Turkish,Turkish
80,English,English
7990,Turkish,Turkish
8544,Sweedish,Sweedish
9000,Arabic,Arabic
2252,Tamil,Tamil
5833,Greek,Greek
1195,English,English
3263,French,French
3017,Portugeese,Portugeese
7145,Italian,Italian
2183,Tamil,Tamil
4376,Dutch,Dutch
2698,Portugeese,Portugeese
8496,Sweedish,Sweedish
7628,Italian,Italian
9921,German,German
7331,Italian,Italian
8617,Sweedish,Sweedish
6224,Russian,Russian
1606,Malayalam,Malayalam
4253,French,French
9669,German,German
3578,French,French
9917,German,German
1250,English,English
6237,Russian,Russian
3404,French,French
5461,Spanish,Spanish
3245,Portugeese,Portugeese
304,English,English
8911,Sweedish,Sweedish
7822,Turkish,Turkish
2515,Portugeese,Portugeese
321,English,English
31,English,English
9180,Arabic,Arabic
7255,Italian,Italian
3693,French,French
10149,Kannada,Kannada
914,English,English
457,English,English
900,English,English
4635,Dutch,Dutch
2191,Tamil,Tamil
5284,Spanish,Spanish
8743,Sweedish,Sweedish
2310,Tamil,Tamil
1217,English,English
2701,Portugeese,Portugeese
1002,English,English
9807,German,German
7931,Turkish,Turkish
1691,Malayalam,Malayalam
7953,Turkish,Turkish
8796,Sweedish,Sweedish
10069,Kannada,Kannada
533,English,English
4366,Dutch,Dutch
6094,Russian,Russian
8582,Sweedish,Sweedish
7955,Turkish,Turkish
7363,Italian,Italian
1277,English,English
5062,Spanish,Spanish
169,English,English
9940,German,German
8468,Sweedish,Sweedish
3834,French,French
10228,Kannada,Kannada
4949,Spanish,Spanish
4791,Dutch,Dutch
4469,Dutch,Dutch
318,English,English
1190,English,English
1536,Malayalam,Malayalam
1795,Malayalam,Malayalam
9528,German,German
315,English,English
2168,Tamil,Tamil
1078,English,English
6298,Russian,Russian
9727,German,German
8191,Turkish,Turkish
8401,Sweedish,Sweedish
1595,Malayalam,Malayalam
9720,German,German
5261,Spanish,Spanish
3872,French,French
5979,Greek,Greek
8093,Turkish,Turkish
2840,Portugeese,Portugeese
7754,Italian,Italian
7344,Italian,Italian
9685,German,German
4192,French,French
6533,Russian,Russian
4191,French,French
8839,Sweedish,Sweedish
5820,Greek,Greek
2287,Tamil,Tamil
3132,Portugeese,Portugeese
8193,Turkish,Turkish
1112,English,English
5950,Greek,Greek
1965,Malayalam,Malayalam
9381,Arabic,Arabic
4879,Spanish,Spanish
3095,Portugeese,Portugeese
3045,Portugeese,Portugeese
3460,French,French
8909,Sweedish,English
439,English,English
7094,Danish,Danish
346,English,English
6887,Danish,Danish
1413,Malayalam,Malayalam
9744,German,German
9133,Arabic,Arabic
3555,French,French
9652,German,German
4929,Spanish,Spanish
4969,Spanish,Spanish
3459,French,French
3413,French,French
2816,Portugeese,Portugeese
8542,Sweedish,Sweedish
9615,German,German
1347,English,English
4001,French,French
4519,Dutch,Dutch
7228,Italian,Italian
5281,Spanish,Spanish
4867,Spanish,Spanish
8237,Turkish,Turkish
4738,Dutch,Dutch
1791,Malayalam,Malayalam
6121,Russian,Russian
673,English,English
2039,Hindi,Hindi
3647,French,French
2301,Tamil,Tamil
6752,Danish,Danish
1147,English,English
7428,Italian,Italian
6587,Russian,Russian
9853,German,Dutch
1145,English,English
718,English,English
1180,English,English
9713,German,German
9469,Arabic,Arabic
8331,Sweedish,Sweedish
8439,Sweedish,Sweedish
7498,Italian,Italian
9816,German,German
9390,Arabic,Arabic
2522,Portugeese,Portugeese
5807,Greek,Greek
10287,Kannada,Kannada
3919,French,French
4335,Dutch,Dutch
1670,Malayalam,Malayalam
7247,Italian,Italian
373,English,English
7615,Italian,Italian
4328,Dutch,Dutch
5813,Greek,Greek
8956,Sweedish,Sweedish
6518,Russian,Russian
7161,Italian,Italian
4850,Spanish,Spanish
6349,Russian,Russian
9884,German,German
1056,English,English
500,English,English
6707,Danish,Danish
6085,Russian,Russian
9223,Arabic,Arabic
9488,Arabic,Arabic
4685,Dutch,Dutch
259,English,English
5288,Spanish,Spanish
6141,Russian,Russian
7501,Italian,Italian
6055,Russian,Russian
10143,Kannada,Kannada
6414,Russian,Russian
3455,French,French
6987,Danish,Danish
8814,Sweedish,Sweedish
9283,Arabic,Arabic
7881,Turkish,Turkish
9496,Arabic,Arabic
9625,German,German
4162,French,French
2732,Portugeese,Portugeese
6998,Danish,Danish
1351,English,English
6253,Russian,Russian
10025,Kannada,Kannada
6682,Russian,Russian
8047,Turkish,Turkish
2108,Tamil,Tamil
542,English,English
8975,Arabic,Arabic
5268,Spanish,Spanish
9479,Arabic,Arabic
295,English,English
8329,Sweedish,Sweedish
47,English,English
6672,Russian,Russian
5743,Greek,Greek
6173,Russian,Russian
2517,Portugeese,Portugeese
286,English,English
2802,Portugeese,Portugeese
4803,Dutch,Dutch
1512,Malayalam,Malayalam
6939,Danish,Danish
4023,French,French
9025,Arabic,Arabic
5165,Spanish,Spanish
4189,French,French
8174,Turkish,Turkish
8116,Turkish,Turkish
4123,French,French
927,English,English
1616,Malayalam,Malayalam
3827,French,French
2625,Portugeese,Portugeese
7139,Italian,Italian
8347,Sweedish,Sweedish
8738,Sweedish,Sweedish
6586,Russian,Russian
958,English,English
9647,German,German
8964,Arabic,Arabic
3784,French,French
5665,Greek,Greek
1921,Malayalam,Malayalam
10311,Kannada,Kannada
9110,Arabic,Arabic
4119,French,French
5862,Greek,Greek
6180,Russian,Russian
1149,English,English
3038,Portugeese,Portugeese
3891,French,French
5440,Spanish,Spanish
8821,Sweedish,Sweedish
3937,French,French
8683,Sweedish,Sweedish
2036,Hindi,Hindi
7985,Turkish,Turkish
3350,French,French
5816,Greek,Greek
10079,Kannada,Kannada
6671,Russian,Russian
3739,French,French
932,English,English
2152,Tamil,Tamil
1458,Malayalam,Malayalam
1084,English,English
7152,Italian,Italian
4127,French,French
6857,Danish,Danish
5817,Greek,Greek
9449,Arabic,Arabic
3984,French,French
4847,Spanish,Spanish
1488,Malayalam,Malayalam
6245,Russian,Russian
2750,Portugeese,Portugeese
4721,Dutch,Dutch
7578,Italian,Italian
8995,Arabic,Arabic
6128,Russian,Russian
210,English,English
8176,Turkish,Turkish
5968,Greek,Greek
2260,Tamil,Tamil
4989,Spanish,Spanish
7267,Italian,Italian
9149,Arabic,Arabic
2685,Portugeese,Portugeese
10331,Kannada,Kannada
9437,Arabic,Arabic
1608,Malayalam,Malayalam
4411,Dutch,Dutch
3651,French,French
8383,Sweedish,Sweedish
3593,French,French
7500,Italian,Italian
106,English,English
3082,Portugeese,Portugeese
6779,Danish,Danish
8064,Turkish,Turkish
2619,Portugeese,Portugeese
5087,Spanish,Arabic
6008,Russian,Russian
10205,Kannada,Kannada
2485,Tamil,Tamil
7369,Italian,Italian
6537,Russian,Russian
3541,French,French
7281,Italian,Italian
3595,French,French
2833,Portugeese,Portugeese
5829,Greek,Greek
4936,Spanish,Spanish
5100,Spanish,Spanish
10165,Kannada,Kannada
7360,Italian,Italian
1408,Malayalam,Malayalam
7149,Italian,Italian
4838,Spanish,Spanish
6179,Russian,Russian
29,English,English
4418,Dutch,Dutch
3284,French,French
10119,Kannada,Kannada
5769,Greek,Greek
3910,French,French
1617,Malayalam,Malayalam
7528,Italian,Italian
7750,Italian,Italian
6903,Danish,Danish
108,English,English
3315,French,French
2124,Tamil,Tamil
3424,French,French
10158,Kannada,Kannada
9359,Arabic,Arabic
9972,Kannada,Kannada
1953,Malayalam,Malayalam
7222,Italian,Italian
6208,Russian,Russian
6227,Russian,Russian
7109,Danish,Danish
2275,Tamil,Tamil
9518,German,German
3154,Portugeese,Portugeese
9930,German,German
3160,Portugeese,Portugeese
265,English,English
1981,Hindi,Hindi
6797,Danish,Danish
9323,Arabic,Arabic
7709,Italian,Italian
5362,Spanish,Spanish
3148,Portugeese,Portugeese
9617,German,German
5582,Spanish,Spanish
10256,Kannada,Kannada
3848,French,French
8013,Turkish,Turkish
8960,Sweedish,Sweedish
293,English,English
9046,Arabic,Arabic
9564,German,German
4201,French,French
5398,Spanish,Spanish
2232,Tamil,Tamil
6151,Russian,Russian
576,English,English
10041,Kannada,Kannada
9549,German,German
2859,Portugeese,Portugeese
3688,French,French
10011,Kannada,Kannada
14,English,English
4934,Spanish,Spanish
3050,Portugeese,Portugeese
1247,English,English
5018,Spanish,Spanish
1068,English,English
3399,French,French
1576,Malayalam,Malayalam
7051,Danish,Danish
2455,Tamil,Tamil
1501,Malayalam,Malayalam
6954,Danish,Danish
5727,Greek,Greek
1360,English,English
9247,Arabic,Arabic
92,English,English
2963,Portugeese,Portugeese
2614,Portugeese,Portugeese
5712,Greek,Greek
8699,Sweedish,Sweedish
4038,French,French
1862,Malayalam,Malayalam
496,English,English
5023,Spanish,Spanish
2879,Portugeese,Portugeese
8409,Sweedish,Sweedish
5321,Spanish,Spanish
9833,German,German
8097,Turkish,Turkish
4779,Dutch,Dutch
3508,French,French
5135,Spanish,Spanish
9336,Arabic,Arabic
5616,Spanish,Spanish
1669,Malayalam,Malayalam
6965,Danish,Danish
9066,Arabic,Arabic
713,English,English
8804,Sweedish,Sweedish
9354,Arabic,Arabic
5338,Spanish,Spanish
3857,French,French
7512,Italian,Italian
794,English,English
6715,Danish,Sweedish
8391,Sweedish,Sweedish
10112,Kannada,Kannada
10111,Kannada,Kannada
8375,Sweedish,Sweedish
1082,English,English
7780,Italian,Italian
2138,Tamil,Tamil
4395,Dutch,Dutch
388,English,English
6485,Russian,Russian
6680,Russian,Russian
3025,Portugeese,Portugeese
7630,Italian,Italian
1087,English,English
5667,Greek,Greek
5828,Greek,Greek
6003,Russian,Russian
88,English,English
510,English,English
4436,Dutch,Dutch
3418,French,French
8823,Sweedish,Danish
6539,Russian,Russian
7567,Italian,Italian
6982,Danish,Danish
3065,Portugeese,Portugeese
8327,Sweedish,Sweedish
8475,Sweedish,Sweedish
9895,German,German
1950,Malayalam,Malayalam
4083,French,French
651,English,English
4190,French,French
7671,Italian,Italian
8460,Sweedish,Sweedish
9570,German,German
7407,Italian,Italian
9714,German,German
4540,Dutch,Dutch
9079,Arabic,Arabic
5982,Greek,Greek
416,English,English
6462,Russian,Russian
621,English,English
7185,Italian,Italian
8199,Turkish,Turkish
4845,Spanish,Spanish
6743,Danish,Danish
1107,English,English
1254,English,English
4716,Dutch,Dutch
7775,Italian,Italian
7143,Italian,Italian
7545,Italian,Italian
2492,Tamil,Tamil
6661,Russian,Russian
5270,Spanish,Spanish
4672,Dutch,Dutch
8,English,English
399,English,English
9324,Arabic,Arabic
6437,Russian,Russian
1369,English,English
3527,French,French
7716,Italian,Italian
3790,French,French
3979,French,French
4217,French,French
3706,French,French
5814,Greek,Greek
1730,Malayalam,Malayalam
8719,Sweedish,Sweedish
7047,Danish,Danish
8521,Sweedish,Sweedish
5118,Spanish,Spanish
3287,French,French
9024,Arabic,Arabic
8169,Turkish,Portugeese
3895,French,French
582,English,English
1963,Malayalam,Malayalam
624,English,English
568,English,English
730,English,English
8552,Sweedish,Sweedish
7198,Italian,Italian
7238,Italian,Italian
8277,Turkish,Turkish
8538,Sweedish,Sweedish
2407,Tamil,Tamil
2055,Tamil,Tamil
360,English,English
5559,Spanish,Spanish
5349,Spanish,Spanish
291,English,English
8444,Sweedish,Sweedish
101,English,English
9056,Arabic,Arabic
3088,Portugeese,Portugeese
8203,Turkish,Turkish
9715,German,German
1224,English,English
1253,English,English
2970,Portugeese,Portugeese
4271,Dutch,Dutch
9866,German,German
3948,French,French
3127,Portugeese,Portugeese
1208,English,English
8868,Sweedish,Sweedish
856,English,English
7876,Turkish,Turkish
6754,Danish,Danish
9761,German,German
6545,Russian,Russian
7379,Italian,Italian
8181,Turkish,Turkish
2638,Portugeese,Portugeese
563,English,English
7936,Turkish,Turkish
4304,Dutch,Dutch
3745,French,French
8848,Sweedish,Sweedish
795,English,English
2478,Tamil,Tamil
4092,French,French
63,English,English
1022,English,English
9565,German,German
8314,Sweedish,Sweedish
3666,French,French
5852,Greek,Greek
2072,Tamil,Tamil
1210,English,English
1516,Malayalam,Malayalam
1746,Malayalam,Malayalam
2932,Portugeese,Portugeese
2344,Tamil,Tamil
1660,Malayalam,Malayalam
8261,Turkish,Turkish
1747,Malayalam,Malayalam
245,English,English
2507,Tamil,Tamil
4459,Dutch,Dutch
2544,Portugeese,Portugeese
3298,French,French
3128,Portugeese,Portugeese
7680,Italian,Italian
333,English,English
7518,Italian,Italian
2098,Tamil,Tamil
7530,Italian,Italian
2588,Portugeese,Portugeese
9635,German,German
1511,Malayalam,Malayalam
263,English,English
1350,English,English
2271,Tamil,Tamil
7063,Danish,Danish
7290,Italian,Italian
655,English,English
623,English,English
1432,Malayalam,Malayalam
2109,Tamil,Tamil
1393,Malayalam,English
5094,Spanish,Spanish
6515,Russian,Russian
5351,Spanish,Spanish
3692,French,French
4629,Dutch,Dutch
3582,French,French
1794,Malayalam,Malayalam
367,English,English
9140,Arabic,Arabic
736,English,English
8305,Sweedish,Sweedish
7284,Italian,Italian
8218,Turkish,Turkish
1785,Malayalam,Malayalam
5312,Spanish,Spanish
577,English,English
4830,Spanish,Spanish
10192,Kannada,Kannada
5660,Greek,Greek
4012,French,French
1692,Malayalam,Malayalam
1688,Malayalam,Malayalam
1199,English,English
6890,Danish,Danish
7831,Turkish,Turkish
8224,Turkish,Turkish
8993,Arabic,Arabic
1650,Malayalam,Malayalam
4474,Dutch,Dutch
2620,Portugeese,Portugeese
3481,French,French
2899,Portugeese,Portugeese
6931,Danish,Danish
76,English,English
4975,Spanish,Spanish
2288,Tamil,Tamil
5198,Spanish,Spanish
4252,French,French
3526,French,French
7376,Italian,Italian
9981,Kannada,Kannada
3194,Portugeese,Portugeese
2145,Tamil,Tamil
6312,Russian,Russian
4317,Dutch,Dutch
5931,Greek,Greek
6611,Russian,Russian
5199,Spanish,Spanish
5912,Greek,Greek
2286,Tamil,Tamil
960,English,English
8663,Sweedish,Sweedish
683,English,English
4995,Spanish,Spanish
3,English,English
647,English,English
1915,Malayalam,Malayalam
6061,Russian,Russian
1446,Malayalam,Malayalam
1026,English,English
290,English,English
6263,Russian,Russian
4630,Dutch,Dutch
9533,German,German
2107,Tamil,Tamil
9860,German,German
2009,Hindi,Hindi
9850,German,German
1923,Malayalam,Malayalam
5737,Greek,Greek
4914,Spanish,Spanish
9360,Arabic,Arabic
7834,Turkish,Turkish
6196,Russian,Russian
5519,Spanish,Spanish
135,English,English
6177,Russian,Russian
1760,Malayalam,Malayalam
7762,Italian,Italian
4269,Dutch,Dutch
2337,Tamil,Tamil
6255,Russian,Russian
8949,Sweedish,Sweedish
7645,Italian,Italian
185,English,English
4026,French,French
10300,Kannada,Kannada
5030,Spanish,Spanish
6209,Russian,Russian
8517,Sweedish,Sweedish
3566,French,French
7620,Italian,Italian
10255,Kannada,Kannada
3497,French,French
7317,Italian,Italian
5730,Greek,Greek
5583,Spanish,Spanish
6503,Russian,Russian
330,English,English
8760,Sweedish,Sweedish
8841,Sweedish,Sweedish
6379,Russian,Russian
3616,French,French
6765,Danish,Danish
8641,Sweedish,Sweedish
549,English,English
1368,English,English
1156,English,English
8083,Turkish,Turkish
381,English,English
6029,Russian,Russian
131,English,English
9388,Arabic,Arabic
2119,Tamil,Tamil
704,English,English
4074,French,French
8797,Sweedish,Sweedish
3077,Portugeese,Portugeese
5663,Greek,Greek
10071,Kannada,Kannada
7457,Italian,Italian
4667,Dutch,Dutch
9096,Arabic,Arabic
9009,Arabic,Arabic
8974,Arabic,Arabic
2870,Portugeese,Portugeese
9132,Arabic,Arabic
3079,Portugeese,Portugeese
3317,French,French
1740,Malayalam,Malayalam
7078,Danish,Danish
3544,French,French
2984,Portugeese,Portugeese
7942,Turkish,Turkish
7562,Italian,Italian
3909,French,French
3941,French,French
1851,Malayalam,Malayalam
2221,Tamil,Tamil
3724,French,French
3643,French,French
7823,Turkish,Turkish
5298,Spanish,Spanish
7459,Italian,Italian
4533,Dutch,Dutch
6335,Russian,Russian
8904,Sweedish,Sweedish
3728,French,French
8693,Sweedish,Sweedish
4715,Dutch,Dutch
3333,French,French
2391,Tamil,Tamil
2458,Tamil,Tamil
7503,Italian,Italian
6426,Russian,Russian
2908,Portugeese,Portugeese
6360,Russian,Russian
4680,Dutch,Dutch
4284,Dutch,Dutch
4960,Spanish,Spanish
7810,Italian,Italian
7918,Turkish,Turkish
1523,Malayalam,Malayalam
9749,German,German
3955,French,French
7971,Turkish,Turkish
7053,Danish,Danish
144,English,English
6066,Russian,Russian
4161,French,Italian
2815,Portugeese,Portugeese
2483,Tamil,Tamil
2876,Portugeese,Portugeese
7696,Italian,Italian
9683,German,German
8161,Turkish,Turkish
7934,Turkish,Turkish
9001,Arabic,Arabic
758,English,English
1330,English,English
6641,Russian,Russian
3842,French,French
1418,Malayalam,Malayalam
7030,Danish,Danish
3538,French,French
5620,Spanish,Spanish
3299,French,French
2531,Portugeese,Portugeese
2913,Portugeese,Portugeese
1684,Malayalam,Malayalam
10000,Kannada,Kannada
7935,Turkish,Turkish
10093,Kannada,Kannada
2523,Portugeese,Portugeese
2465,Tamil,Tamil
7485,Italian,Italian
9189,Arabic,Arabic
4509,Dutch,Dutch
1543,Malayalam,Malayalam
6341,Russian,Russian
5914,Greek,Greek
6746,Danish,Danish
8377,Sweedish,Sweedish
8316,Sweedish,Sweedish
3524,French,French
7256,Italian,Italian
1373,English,English
7925,Turkish,Turkish
8126,Turkish,Turkish
7265,Italian,Italian
0,English,English
6386,Russian,Russian
349,English,English
3387,French,French
7952,Turkish,Turkish
1160,English,English
2564,Portugeese,Portugeese
6367,Russian,Russian
1803,Malayalam,Malayalam
3094,Portugeese,Italian
1155,English,English
8464,Sweedish,Sweedish
4210,French,French
5802,Greek,Greek
3817,French,French
5956,Greek,Greek
8653,Sweedish,Sweedish
3837,French,French
4800,Dutch,Dutch
7067,Danish,Danish
1623,Malayalam,Malayalam
4151,French,English
6606,Russian,Russian
3319,French,French
2487,Tamil,Tamil
5151,Spanish,Spanish
4794,Dutch,Dutch
3656,French,French
7851,Turkish,Turkish
4684,Dutch,Dutch
1113,English,English
782,English,English
2807,Portugeese,Portugeese
2245,Tamil,Tamil
316,English,English
7711,Italian,Italian
7774,Italian,Italian
7439,Italian,Italian
10074,Kannada,Kannada
9192,Arabic,Arabic
3130,Portugeese,Portugeese
10036,Kannada,Kannada
7011,Danish,Danish
4640,Dutch,English
2862,Portugeese,Portugeese
7732,Italian,English
4626,Dutch,Dutch
4770,Dutch,Dutch
3621,French,French
3532,French,French
103,English,English
4064,French,French
5489,Spanish,Spanish
5538,Spanish,Spanish
6324,Russian,Russian
8216,Turkish,Turkish
756,English,English
9139,Arabic,Arabic
5581,Spanish,Spanish
8225,Turkish,Turkish
2128,Tamil,Tamil
9522,German,German
9794,German,German
4972,Spanish,Spanish
5289,Spanish,Spanish
2926,Portugeese,Portugeese
5214,Spanish,Spanish
7313,Italian,Italian
8634,Sweedish,Sweedish
2273,Tamil,Tamil
4052,French,French
567,English,English
6814,Danish,Danish
8784,Sweedish,French
3238,Portugeese,Portugeese
8998,Arabic,Arabic
9668,German,German
1123,English,English
9401,Arabic,Arabic
9094,Arabic,Arabic
1883,Malayalam,Malayalam
2210,Tamil,Tamil
1508,Malayalam,Malayalam
3375,French,French
6820,Danish,Danish
5156,Spanish,Spanish
9502,German,German
764,English,English
4575,Dutch,Dutch
36,English,English
4339,Dutch,Dutch
2943,Portugeese,Portugeese
7631,Italian,Italian
5902,Greek,Greek
3412,French,French
1713,Malayalam,Malayalam
9941,German,German
2184,Tamil,Tamil
4623,Dutch,Dutch
7438,Italian,Italian
5680,Greek,Greek
4341,Dutch,English
8448,Sweedish,Sweedish
9665,German,German
6023,Russian,Russian
3679,French,French
3963,French,French
9214,Arabic,Arabic
1558,Malayalam,Malayalam
2122,Tamil,Tamil
4170,French,French
4883,Spanish,Spanish
1683,Malayalam,Malayalam
637,English,English
1071,English,English
3000,Portugeese,Portugeese
5935,Greek,Greek
5502,Spanish,Spanish
3070,Portugeese,Portugeese
7246,Italian,Italian
8094,Turkish,Turkish
149,English,English
1780,Malayalam,Malayalam
2069,Tamil,Tamil
4031,French,French
4010,French,French
3383,French,French
9438,Arabic,Arabic
10322,Kannada,Kannada
3870,French,French
3443,French,French
4076,French,French
5181,Spanish,Spanish
9525,German,German
1766,Malayalam,Malayalam
742,English,English
6443,Russian,Russian
9898,German,English
1702,Malayalam,Malayalam
7976,Turkish,Turkish
6499,Russian,Russian
8720,Sweedish,Sweedish
2769,Portugeese,Portugeese
4598,Dutch,Dutch
8805,Sweedish,Sweedish
4813,Spanish,Spanish
799,English,English
4792,Dutch,Dutch
7182,Italian,Italian
6498,Russian,Russian
7012,Danish,Danish
8381,Sweedish,Sweedish
1310,English,English
8557,Sweedish,Sweedish
4484,Dutch,Dutch
8559,Sweedish,Sweedish
4597,Dutch,Dutch
586,English,English
8046,Turkish,Turkish
5380,Spanish,Spanish
1864,Malayalam,Malayalam
9078,Arabic,Arabic
2754,Portugeese,Portugeese
2464,Tamil,Tamil
8740,Sweedish,Sweedish
23,English,English
4720,Dutch,Sweedish
6425,Russian,Russian
789,English,English
7292,Italian,Italian
5563,Spanish,Spanish
2199,Tamil,Tamil
2389,Tamil,Tamil
9105,Arabic,Arabic
10330,Kannada,Kannada
8127,Turkish,Turkish
3469,French,French
6440,Russian,Russian
7877,Turkish,Turkish
1578,Malayalam,Malayalam
4046,French,French
605,English,English
9116,Arabic,Arabic
9867,German,German
993,English,English
8732,Sweedish,Sweedish
6118,Russian,Russian
5576,Spanish,Spanish
4022,French,Portugeese
5368,Spanish,Spanish
7525,Italian,Italian
5114,Spanish,Spanish
5218,Spanish,Spanish
7951,Turkish,Turkish
7975,Turkish,Turkish
6418,Russian,Russian
8117,Turkish,Turkish
10309,Kannada,Kannada
5294,Spanish,Spanish
1509,Malayalam,Malayalam
2360,Tamil,Tamil
7461,Italian,Italian
5323,Spanish,Spanish
6428,Russian,Russian
4641,Dutch,Dutch
1768,Malayalam,Malayalam
5239,Spanish,Spanish
5623,Spanish,Spanish
5013,Spanish,Spanish
3002,Portugeese,Portugeese
9902,German,German
5269,Spanish,Spanish
3204,Portugeese,Portugeese
267,English,English
4982,Spanish,Spanish
1775,Malayalam,Malayalam
3887,French,French
8870,Sweedish,Sweedish
5924,Greek,Greek
9969,Kannada,Kannada
738,English,English
965,English,English
252,English,English
1805,Malayalam,Malayalam
2473,Tamil,Tamil
50,English,English
4665,Dutch,Dutch
4844,Spanish,Spanish
3334,French,French
872,English,English
6623,Russian,Russian
8523,Sweedish,English
6282,Russian,Russian
