,Text,Language
2748, muitos professores universitários desencorajam os estudantes de citar qualquer enciclopédia em trabalhos acadêmicos preferindo fontes primárias alguns proíbem especificamente citações da wikipédia.,Portugeese
3047,você arrasa se alguém não está trabalhando muito bem e você quer que ele trabalhe mais você pode dizer que você deve ir mais além o que significa que você deve ir mais além.,Portugeese
6853,hvad sker der hvis du ikke fangede noget eller det ikke forstod den person du altid kan spørge fik jeg dig ret .,Danish
10257,ನಾನು ನಿಮಗೆ ಮನೆಗೆ ಸವಾರಿ ನೀಡಲು ಬಯಸುತ್ತೀರಾ,Kannada
5120,no obstante actualmente —enero de — los dominios adquiridos por wikileaks están a punto de caducar y jimmy wales no tiene intención de renovar el contrato ya que en sus propias palabras no desea que wikipedia se relacione con wikileaks.,Spanish
7669,temo di non avere idea.,Italian
411," according to a  study there is ""evidence of growing resistance from the wikipedia community to new content"".",English
613,there are also several publications from the wikimedia foundation and multilingual publications such as wikimedia diff and this month in education.,English
8421,även dessa regler finns lagrade i wiki-form och wikipedia-skribenter kan skriva och revidera dessa policyer och riktlinjer.,Sweedish
9097,هذه تشكل قناة الاتصال الأساسية للمحررين للمناقشة والتنسيق والمناقشة.,Arabic
1430,ഒരു ദിവസം  ലക്ഷത്തിൽ കൂടുതൽ ആളുകൾ ഇംഗ്ലീഷ് വിക്കിപീഡിയ റഫർ ചെയ്യുന്നു.,Malayalam
6762,der er for meget på min tallerken jeg drukner i arbejde.,Danish
8021,endişelenme endişelenme yani endişelenme.,Turkish
4254,terrence a pris les pleurs et malheureux.,French
5090,para bob mchenry exeditor de la enciclopedia británica uno de los mayores riesgos a los que se enfrenta wikipedia es la entrada de personas convencidas de que su punto de vista es el verdadero impidiendo incluir cualquier otro.,Spanish
8703,och fortsätt sedan och förklara var du fick fick jag rätt .,Sweedish
1417,വിക്കിപീഡിയയാണ് ഇന്നുള്ള ഏറ്റവും വലിയ വിക്കി.,Malayalam
6071,политика «нейтральной точки зрения» в википедии была введена в первые месяцы и была аналогична ранней политике «непредубеждения» в «нупедии».,Russian
604, following growing amounts of incoming donations exceeding seven digits in  as recently reported the foundation has reached a threshold of assets which qualify its consideration under the principles of industrial organization economics to indicate the need for the re-investment of donations into the internal research and development of the foundation.,English
1272,suggestions.,English
6735,administratorer kan slette artikler blokere brugere og beskytte artikler.,Danish
7759,va bene se vuoi più lezioni su frasi e frasi comuni fammelo sapere nella sezione commenti qui sotto.,Italian
7049,nævner det ikke.,Danish
5215,muchos lenguajes de programación pueden usarse para implementar algoritmos de aprendizaje automático.,Spanish
247,additionally there are signs of human life in outer space today such as material left over from previous manned and unmanned launches which are a potential hazard to spacecraft.,English
6250,пародируются также правила википедии например в комиксе xkcd «wikipedian protester».,Russian
1982,"""""नहीं हम नहीं जानते"" जिमी ने कहा.",Hindi
7427,i membri della popolazione attuale danno luogo a una popolazione di nuova generazione per mezzo di operazioni quali la mutazione casuale e crossover che sono modellati sui processi di evoluzione biologica.,Italian
9332,مهلا تهدئة نفسك معا عبارة أخرى.,Arabic
199,although humans comprise only a minuscule proportion of the total living biomass on earth the human effect on nature is disproportionately large.,English
8244,prens ya da şövalye gibi birini hak ettiğimi anlaman gereken her şey anne değil mi,Turkish
485," in a may   follow-up article in the atlantic titled ""can wikipedia ever be a definitive medical text",English
6531,не могли бы вы повторить это,Russian
10002,ಈಗ ಅವರು ಏನು ಮಾಡಬೇಕೆಂಬುದನ್ನು ಅವರು ಮರೆತುಬಿಡುತ್ತಾರೆ ಅದಕ್ಕೆ ಬದಲಾಗಿ ನೀವು ಫ್ಲಮ್ಮೋಕ್ಸ್ ಅನ್ನು ಏಕೆ ಬಳಸಬಾರದು ಉದಾಹರಣೆಗೆ ಹುಡುಗ ಸಂಪೂರ್ಣವಾಗಿ ಕಾಣಿಸುತ್ತಾನೆ.,Kannada
455, articles for traditional encyclopedias such as encyclopædia britannica are carefully and deliberately written by experts lending such encyclopedias a reputation for accuracy.,English
10127,ಇಲ್ಲ ನೀವು ಅದ್ಭುತ ಕೆಲಸ ಮಾಡಿದ್ದೀರಿ.,Kannada
9124,هذه الأخيرة هي لغتا الفلبين.,Arabic
8420,"utöver detta är wikipedias redaktionella principer sammanfattade i de så kallade ""fem pelarna"" och många policyer och riktlinjer syftar till att utforma innehållet på lämpligt sätt.",Sweedish
1721,ഓ എന്റെ ദൈവമേ.,Malayalam
5545,el gusto es mio.,Spanish
8551,författarna menar att en del strategisk planering av artikelredigering sker genom diskussionssidorna.,Sweedish
8456,man ska dock tänka på att vissa texter på wikipedia bara är påbörjade medan andra kan vara betydligt mer utvecklade än innehållet i ne.,Sweedish
10184,ಪುನರಾವರ್ತನೆ ಕೇಳುತ್ತಿದೆ.,Kannada
6239,википедия была также использована в качестве источника в журналистике иногда без указания авторства а также несколько журналистов были уволены за плагиат из википедии.,Russian
3617,un rédacteur peut être identifié par son adresse ip ou par son pseudonyme s'il l'a enregistré sur le site.,French
862,many reinforcement learning algorithms use dynamic programming techniques.,English
2094,—மீக்கா ரியோக்காசு ஏனைய பாரம்பரியக் கலைக்களஞ்சியங்களைப் போலல்லாது விக்கிப்பீடியா வெளித்தொகுப்புக்களை ஏற்கிறது.,Tamil
947,the original goal of the ann approach was to solve problems in the same way that a human brain would.,English
6195,польская версия содержит около   статей.,Russian
1444,എഴുതുന്ന കാര്യങ്ങൾക്കെല്ലാം തെളിവുകൾ വേണം എന്നതുകൊണ്ട് എല്ലാവരികൾക്കും ഉറവിടം ചേർത്തുകൊള്ളണം എന്നില്ല.,Malayalam
1280,what are you doing tonight,English
3601,tout lecteur de wikipédia est un rédacteur ou correcteur potentiel.,French
4554,duimen.,Dutch
2954,se você ainda não pressionou o botão de inscrição e o ícone de sino ao lado dele e feliz assistindo.,Portugeese
7073,da han nysede åh åh og det sidste stop nej jeg vil ikke høre mere alt hvad jeg kunne se var at disse mænd var rigtig flinke min kære du skal vide den skønhed.,Danish
6130,открытый характер модели редактирования является центральным для большой части критики википедии.,Russian
2302,இல்லை நீங்கள் ஒரு அற்புதமான வேலையைச் செய்துள்ளீர்கள்.,Tamil
2004,और फिर आगे बढ़ें और समझाएं कि आपको कहाँ मिला था मैंने आपको सही किया,Hindi
4140,je ne suis pas sûr d'être d'accord.,French
9948,du musst das alles essen.,German
1005, in  microsoft tested a chatbot that learned from twitter and it quickly picked up racist and sexist language.,English
7410,le tecniche di soft computing d'altro canto antepongono il guadagno nella comprensione del comportamento di un sistema a scapito della precisione spesso non necessaria.,Italian
6792,ved hans egen refleksion i spejlet eller turisten blev flummoxed af de forskellige skikke der.,Danish
3181,saúde eu realmente aprecio isso.,Portugeese
2766,o software incorpora recursos de programação como uma macrolinguagem variáveis um sistema de transclusão de templates e redirecionamento de urls.,Portugeese
2132, -இல் மேற்கொள்ளப்பட்ட ஆய்வொன்று சிறப்புக்கட்டுரைகளிடையே அவற்றின் தரங்கள் வேறுபட்டிருப்பதைக் கண்டறிந்ததோடு கட்டுரைகளின் தரத்தைக் கணிப்பதில் ‘குழுச் செயற்பாடு’ போதிய தாக்கத்தை ஏற்படுத்தவில்லை எனவும் கருத்து வெளியிட்டது.,Tamil
4573,oh dit is bijna gek.,Dutch
2057,இவற்றுள் கட்டுரைகளின் தரம் தேவையற்ற தொகுப்புக்கள் மற்றும் தகவல்களின் துல்லியத்தன்மை போன்றவற்றைக் குறிப்பிடலாம்.,Tamil
8163,katıldığımdan emin değilim.,Turkish
229,"as david rothenburg writes ""the beautiful is the root of science and the goal of art the highest possibility that humanity can ever hope to see"".",English
7021,ville det være okay hvis jeg tog fri i morgen,Danish
9582,wir werden sehr aufgeregt weil.,German
6435,скрещенные пальцы.,Russian
4985,​ sin embargo se había estado trabajando en el cambio a licencias creative commons porque la gfdl inicialmente diseñada para manuales de software no es adecuada para trabajos de referencia en línea y porque las dos licencias son incompatibles.,Spanish
3949,ou faible d'esprit maintenant vous avez entendu le mot obtus en géométrie angle obtus et angle aigu donc un angle obtus est un angle supérieur à  degrés mais inférieur à  degrés.,French
8660,vi' jag har lärt oss en hel del av dessa smarta ord och vi tenderar att fylla två tre fyra av dem i en mening som inte låter naturligt.,Sweedish
209, some activities such as hunting and fishing are used for both sustenance and leisure often by different people.,English
9882,du kannst es nicht ernst meinen mutter eine von ihnen.,German
2882," em janeiro de  um tribunal alemão ordenou o fechamento da wikipédia em alemão na alemanha por ter publicado o nome completo do boris floricic também conhecido como ""tron"" um hacker que era antigamente membro do chaos computer club.",Portugeese
7251,questa politica impone che ciascun punto di vista debba ricevere una trattazione adeguata al suo seguito.,Italian
7636,sono così felice che sia stato ragazzi  frasi in inglese fammi sapere se è stato utile mettendo mi piace a questo video e commentando di seguito se conosci altre frasi interessanti.,Italian
5155,se dice que un agente aprende cuando su desempeño mejora con la experiencia es decir cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.,Spanish
6088,существуют планы лицензирования торговой марки википедии для некоторых продуктов таких как книги и dvd.,Russian
7216,le voci sono sempre aperte alle modifiche tranne quando vengono protette a tempo determinato a causa di vandalismi o edit war e non si dichiara mai conclusa la stesura di una voce.,Italian
1728,എനിക്ക് സുഖമായിരിക്കും.,Malayalam
4475,was niet in staat.,Dutch
337, any change or edit that manipulates content in a way that purposefully compromises the integrity of wikipedia is considered vandalism.,English
5359,dedos cruzados.,Spanish
2650,""" editores com boa reputação na comunidade podem ser nomeados para um dos vários níveis de gestão de voluntários como os autorrevisores cujas edições são marcadas automaticamente como confiáveis reversores para os quais são simplificadas as ações que desfazem edições eliminadores que podem eliminar páginas e administradores englobando todos os outros além de poderem bloquear alterações em artigos em caso de vandalismo ou de disputas editoriais e bloquear contas de usuários.",Portugeese
6364,или бизнес в этом квартале был вялым вы можете использовать это в своей повседневной жизни если однажды вы чувствуете себя очень усталым вы можете сказать об этом своей маме или сказать.,Russian
9241,انتقل إلى google واكتب الكلمة وفي الجزء العلوي الأيمن سترى رمز مكبر صوت صغيرًا ، انقر فوق هذا مكبر الصوت.,Arabic
8940,jag är terrence ängeln med lycka din dotters namn och skönhet är känd över hela världen här jag har gett dig en gåva vad men du känner knappt honom du kan inte gå med honom.,Sweedish
1226,the usual.,English
3813,google puis amazon qui exploitent le contenu de l'encyclopédie sont les deux premiers géants du web respectivement en  et  à apporter un don à wikipédia à chaque fois d'un montant d'un million de dollars.,French
9513,ich bin mit aufgaben überhäuft smart word nummer zwei ist catch- jetzt bin ich sicher dass sie ' ich habe dieses wort gehört bevor catch- eine unmögliche situation bedeutet in der sie eine sache nicht tun können es sei denn sie haben die andere getan und sie können die andere nicht tun weil sie die erste nicht getan haben.,German
2144, பயனர் கணக்குகள் பதிவு செய்யப்பட்டுள்ளன.,Tamil
9068,"بعيدًا عن المسائل القانونية، تتجسد المبادئ التحريرية لويكيبيديا في ""خمس اعمده"" وفي العديد من سياسات وإرشادات تهدف إلى تشكيل المحتوى بشكل مناسب.",Arabic
4561,als iemand het druk heeft kunt u altijd sorry zeggen dat ik u stoor en dan kunt u het vragen.,Dutch
2111, முக்கியமாகத் தொகுப்பாளர்கள் பேச்சுப்பக்கத்தைப் பயன்படுத்திக் கருத்தொருமிப்புப் பெற முடியும்.,Tamil
3098,hesitando.,Portugeese
7282,"allo stesso tempo i difensori e fruitori ne esaltano la ""portabilità"" rispetto alle enciclopedie cartacee ovvero la disponibilità a portata di un ""click"".",Italian
4417,de methodes zijn te verdelen in twee ruwe categorieën aanleidinggevend en deductief.,Dutch
1017,systems which are trained on datasets collected with biases may exhibit these biases upon use algorithmic bias thus digitizing cultural prejudices.,English
3520,le système wiki de wikipédia permet la création et la modification immédiates des pages par tous les visiteurs même sans inscription.,French
4503,dit is de beste video om mee te beginnen dus laten we in hopelijk  minuten  zinnen in het engels bekijken.,Dutch
10215,ಮುಂದುವರೆಸು.,Kannada
1928,പാവയും ഏറ്റവും രസകരമായ ഭാഗവും നാർസിസ നിങ്ങൾ ആഗ്രഹിക്കുന്നിടത്തോളം അവൾ സ്വയം സ്നേഹിക്കുന്നു എന്നതാണ്.,Malayalam
350,wales replied that he did not although the perpetrator was eventually traced.,English
3184,não é nada.,Portugeese
2201,அதற்கான விளக்க பெட்டியில் கீழே இப்போது ரகசிய முனை சரளமாக ஒலிக்க ரகசிய முனை என்பது சில நேரங்களில் எனக்குத் தெரிந்த ஒன்றுக்கு மேற்பட்ட ஸ்மார்ட் சொல் அல்லது வாக்கியத்தைப் பயன்படுத்தக்கூடாது.,Tamil
8900,ber någon vänta.,Sweedish
1934,ഒരു രാജകുമാരനെയോ നൈറ്റിനെയോ പോലെയുള്ള ഒരാളെ ഞാൻ അർഹനാണെന്ന് നിങ്ങൾ മനസ്സിലാക്കേണ്ടതെല്ലാം അമ്മയല്ലേ,Malayalam
7411,i paradigmi di soft computing si basano su due principi l'apprendimento automatico si avvale delle tecniche di soft computing.,Italian
5183,otra de las estrategias se basa en el índice gini y fue desarrollada por breiman friedman et alia.,Spanish
5477,no tengo una opinión al respecto.,Spanish
4315,op  juni  ging de nederlandstalige versie van wikipedia van start.,Dutch
564,""" the same wall street journal article reported these directions of development according to an interview with spokesman jay walsh of wikimedia who ""said tretikov would address that issue paid advocacy as a priority.",English
1582,സ്വയംചലിത യന്ത്രപഠനത്തിലാകട്ടെ ഇൻപുട്ടുകൾ മാത്രം ഉപയോഗിച്ചുകൊണ്ട് ഭാവിയിലെ ഔട്പുട്ട് മൂല്യം അല്ലെങ്കിൽ ഇൻപുട്ട് ഔട്പുട്ട് ബന്ധത്തെക്കുറിച്ച് അറിയാൻ സാധിക്കുന്നു.,Malayalam
5481,no podría estar mas de acuerdo.,Spanish
2175,திகைத்துப் போவது மிகவும் பிரமாதமான ஒன்றை விவரிக்கப் பயன்படுகிறது உதாரணமாக அவள் அந்த உடையில் பிரமாதமாக இருக்கிறாள் அல்லது இந்த பால்கனியில் இருந்து என்ன ஒரு அற்புதமான பார்வை அல்லது நான் இந்த பிரமாதமான புத்தகத்தைப் படித்துக்கொண்டிருக்கிறேன் நீங்கள் எப்படிப் போகிறீர்கள் என்று கீழே வைக்க முடியாது சொல்லுங்கள்.,Tamil
6717,"stallman påpegede brugbarheden af en ""fri universel encyklopædi"" før wikipedia blev startet.",Danish
2540," uma pesquisa de  na revista nature mostrou que os artigos científicos que eles compararam chegavam perto do nível de precisão da encyclopædia britannica e tinham uma taxa semelhante de ""erros graves"".",Portugeese
9927,ich war sehr verängstigt mach dir keine sorgen mein lieber.,German
2707,wales respondeu que não mas no entanto o autor acabou por ser rastreado.,Portugeese
2228,நீங்கள் எப்படி இருக்கிறீர்கள் போன்ற செய்தி எங்கிருந்து வந்தது.,Tamil
1115,was trying to help you but couldn't reach the result you can say.,English
7166,le voci tradotte rappresentano una percentuale relativamente piccola di quelle presenti in ciascuna edizione.,Italian
5768,συγγνώμη.,Greek
4707,ik ben bang van wel.,Dutch
9296,أنا' م ذاهب إلى الغسيل على أي حال.,Arabic
5019,​ esta última afirmación fue desmentida por jimmy wales fundador de wikipedia.,Spanish
6422,я не слушал потому что возможно ты был занят.,Russian
8018,şimdiden teşekkür ederek biraz yapın.,Turkish
821,the training examples come from some generally unknown probability distribution considered representative of the space of occurrences and the learner has to build a general model about this space that enables it to produce sufficiently accurate predictions in new cases.,English
4403,orlowski formuleerde het als volgt de kwaliteit van informatie in deze artikelen was in wikipedia daarmee  procent minder dan in de britannica.,Dutch
2272,நீங்கள் தொந்தரவு செய்ய மன்னிக்கவும் நீங்கள் பார்க்கிறீர்கள் என்று உங்களுக்குத் தெரியும்.,Tamil
5955,ω αγαπητή μια νύχτα όταν κοιμόταν η μητέρα της κάθισε στο πλάι της παρακολουθώντας την.,Greek
81,this exposure alternates as the earth revolves in its orbit.,English
1323,asking someone to wait.,English
5674,γεια γιατί δεν κάνεις παρέα μαζί μας μπορείς να τους πεις λυπάμαι πολύ αλλά έχω πλημμυρίσει με δουλειά ή έχω πληρώσει κάποιες άλλες λέξεις που μπορείς να χρησιμοποιήσεις αντί για βάλτο έχω πάρα πολλά να κάνω.,Greek
4337, de rijksdienst voor het cultureel erfgoed rce heeft in september  van de . afbeeldingen van haar collectie er . vrijgegeven met een maximale pixelgrootte van  pixels onder de cc-by-sa-.-nl licentie.,Dutch
1614,ചതുപ്പ് ഒരു തണ്ണീർത്തടമാണ് ആരെങ്കിലും ചതുപ്പുനിലത്ത് തെറ്റായ സ്ഥലത്ത് കാലെടുത്തുവച്ചാൽ അവർക്ക് എളുപ്പത്തിൽ മുങ്ങാം ചതുപ്പിന്റെ ക്രിയാപദം അർത്ഥമാക്കുന്നത് മുങ്ങുക എന്നതാണ് അതിനാൽ നിങ്ങൾക്ക് ഈ പദം എങ്ങനെ ഉപയോഗിക്കാം.,Malayalam
2697,os fatores consistência e qualidade são constantemente monitorados por wikipedistas mais ativos.,Portugeese
831,in computational learning theory a computation is considered feasible if it can be done in polynomial time.,English
4277,voor wikipedia is een apart programma ontworpen.,Dutch
8562,denna uppnås med det produktionssätt som till exempel wikipedia har på ett enklare och snabbare sätt än annars.,Sweedish
2420,கோரிக்கைகளை உருவாக்குகிறது.,Tamil
4793,probeer hier wat gouden aardappelen ze zijn echt goed en nadat je met mij bent getrouwd.,Dutch
10258,ಹೌದು ದಯವಿಟ್ಟು.,Kannada
9222,بشكل عام لكنها فازت قد يكون مناسبًا جدًا لعقد اجتماع رسمي ، لذا إذا كان لديك تاريخ ، فربما يمكنك بالتأكيد الاتصال بأن كلمة التقاء الذكية رقم  منفرجة ومنفرجة المنفرجة إهانة ستستخدمها عندما تحاول الاتصال بشخص ما غبي أو غير ذكي.,Arabic
1649,ഇന്ന് വൈകുന്നേരം എനിക്ക് എന്റെ ചങ്ങാതിമാരുമായി ഒരു കൂടിക്കാഴ്‌ചയുണ്ട് അല്ലെങ്കിൽ ഞാൻ നാളെ എന്റെ സുഹൃത്തുക്കളുമായി കൂടിക്കാഴ്ചയ്ക്ക് പോകുന്നു.,Malayalam
4374,[noot ] de bewerkers van wikipedia zijn merendeels mannelijk.,Dutch
6622,не беспокойтесь об этом.,Russian
10090,ಅಮೆರಿಕನ್ನರು ಬಳಸುವ ಮತ್ತೊಂದು ನುಡಿಗಟ್ಟು ಓಹ್ ಕೆಟ್ಟದು ಮತ್ತು ಅದನ್ನು ವಿವರಿಸುತ್ತದೆ.,Kannada
2957,então se você está prestes a embarcar em sua jornada.,Portugeese
7219,wikipedia mantiene un approccio ottimistico sulla bontà delle modifiche proposte tutti coloro che visitano il sito di wikipedia hanno la possibilità di creare o modificare una voce e vedere pubblicate all'istante le loro modifiche.,Italian
7665,scusa non l'ho capito.,Italian
7398,"alcuni statistici hanno adottato metodi provenienti dall'apprendimento automatico il che ha portato alla creazione di una disciplina combinata chiamata ""apprendimento statistico"".",Italian
3509,il existe également des logiciels qui permettent de transformer le contenu de wikipédia sous forme de fichiers consultables sur des assistants personnels comme webaroo avec plucker.,French
2689, embora cada edição possua funções de línguas mais ou menos independentes alguns esforços estão sendo feitos para supervisionar todos eles.,Portugeese
6946,okay lad os begynde.,Danish
10204,ನಾನು ಹೆಚ್ಚು ಒಪ್ಪಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.,Kannada
749,everything with many later being merged into the project e.g.,English
8005,iyi cevap verebilirsin şikayet edemezsin herşey gerçekten harika.,Turkish
2373,நான் வேலை செய்வேன் என்று நேர்மையாக நினைக்கவில்லை.,Tamil
2442,அது ஒன்றும் இல்லை.,Tamil
8790,hej och välkommen.,Sweedish
3016,você pode pedir desculpas por incomodá-lo você sabe que vê.,Portugeese
2758,"ele também disse que ""uma geração de preguiçosos intelectuais incapazes de ir além da internet"" estava sendo produzida nas universidades.",Portugeese
2820,"""my number one doctor"" em um episódio de  do programa de televisão scrubs também satirizou a dependência da wikipédia sobre editores que editam os artigos da cultura erudita e pop em uma cena em que dr. perry cox reage a um paciente que diz que um artigo da wikipédia indica que o crudivorismo reverte os efeitos da tumor ósseo por autoclavagem e que o mesmo editor que escreveu que o artigo também escreveu a lista de episódios de battlestar galactica.",Portugeese
3684,de la wikimedia foundation.,French
8649,att svara på en enda fråga på testet eller den tråkiga mannen hade svårt att förstå även grundläggande instruktioner nu antar att i din situation i det dagliga livet är din pojkvän eller din flickvän arg på dig och du vet inte varför så du kan. säg till dem kanske jag är tråkig men jag vet inte varför du är så upprörd smart ord nummer  är trög trög trög betyder att röra sig långsamt för att vara lite långsammare.,Sweedish
5406,se hunde dices recupera la compostura como literalmente tómate a ti mismo y recupera la compostura deja de trabajar deja de llorar recupera la compostura.,Spanish
4842,​ wikipedia también ha sido criticada por prejuicios de género particularmente en su versión en inglés donde la mayoría de los editores son hombres.,Spanish
4299,in  droeg wales zijn rechten op de naam wikipedia de website zelf en de servers waarop deze draaide over aan de wikimedia foundation een stichting die hij oprichtte om het behoud en de verdere ontwikkeling van wikipedia langdurig mogelijk te maken.,Dutch
6348,умное слово номер восемь - это рандеву рандеву рандеву.,Russian
5735,φράσεις εάν μαθαίνετε αγγλικά για λίγο και θέλετε να συνεχίσετε να μαθαίνετε.,Greek
5697,για να μου πείτε ποια από αυτές τις δέκα λέξεις ήταν η αγαπημένη σας έξυπνη λέξη νούμερο έξι βρίσκεται σε μια διόρθωση σε μια επιδιόρθωση σημαίνει να βρίσκεστε σε μια ενοχλητική κατάσταση για παράδειγμα αγόρι είμαι σε μια διόρθωση επειδή έχω κάνει σχέδια με δύο διαφορετικούς φίλους για αυτό απόγευμα.,Greek
4397, een vergelijking in september  van de duitstalige wikipedia en twee andere duitstalige encyclopedieën brockhaus en encarta door het computertijdschrift c't viel in het voordeel van wikipedia uit.,Dutch
4450,wat betekent angst wreed of verschrikkelijk enkele voorbeelden van het woord afschuwelijk zijn de recente verkrachtingsincidenten in delhi waren afschuwelijk of gevangenen worden behandeld.,Dutch
9484,لكن حزن القلب بسبب كل ما كان هناك غير صالح للأكل ، سرعان ما بدأت في البكاء لا أريد هذا ولكن الطعام جيد حقًا.,Arabic
4783,oh dom hij is rijk en knap wat wil ik nog meer terrence ik accepteer je voorstel.,Dutch
1139,sorry i wasn't listening.,English
8187,hayır üzgünüm bazı planları şimdiden kızdırdım.,Turkish
2231,நீங்கள் ஒருவருக்கு நன்றி சொல்ல விரும்பினால் அது மிகவும் வகையானது என்று நீங்கள் கூறலாம் அதைச் செய்ததற்கு மிக்க நன்றி அது உங்களுக்கு மிகவும் வகையானது யாராவது இருந்தால் அது உங்களுக்கு மிகவும் வகையானது.,Tamil
2164,சுவேவ் என்ற சொல் பலவிதமான தோற்றங்களைக் கொண்டுள்ளது ஆனால் இந்த வார்த்தையின் ஒரு சுவாரஸ்யமான தோற்றம் இனிமையான அல்லது இனிமையான ருசிக்கும் உதாரணம் என்று பொருள்.,Tamil
10146,ನಾನು ನನ್ನ ಸ್ನೇಹಿತನನ್ನು ನೋಡುತ್ತಿದ್ದೇನೆ.,Kannada
6879,ting sker vær ikke forstyrret hvis du ikke har navnet på den person du vil tale med ham.,Danish
2777, a wikipédia empregava um único servidor até  quando a configuração do servidor foi ampliada para uma arquitetura em multicamadas distribuídas.,Portugeese
6489,ты можешь прикрыть меня как ты можешь работать вместо меня пока я,Russian
6911,nej du har gjort et fantastisk stykke arbejde.,Danish
1570,അമേരിക്കക്കാരനായ കമ്പ്യൂട്ടർ ഗെയിം നിർമാതാവും ആർട്ടിഫിഷ്യൽ ഇന്റലിജൻസ് വിദഗ്ദ്ധനുമായ ആർതർ സാമുവൽ ആണ് ഈ പേരിന്റെ ഉപജ്ഞാതാവ്.,Malayalam
172,their reproduction is both rapid and profuse.,English
7807,qual è stato il tuo errore ti diamo da mangiare qualcosa di carino da quel giorno in poi.,Italian
2087,பின்னர் வெவ்வேறு மொழிகளில் விக்கிப்பீடியா உருவாக்கப்பட்டு  ஆம் ஆண்டின் முடிவில் கிட்டத்தட்ட  கட்டுரைகளுடன்  மொழிகளில் வளர்ந்தது.,Tamil
3279,selon jan patocka « on peut demander si cette philosophie ne nous offre pas un cas typique d'anthropomorphisme ».,French
4900,"para editar un artículo se recurre al código wiki en una caja de texto a través de la pestaña ""editar"" que no siempre está disponible en caso de alguna prevención contra el vandalismo.",Spanish
